Seq,Runtime_s,Frames,FPS,IDF1,MOTA
MOT20-01,1.996236801147461,11553,5787.389548854723,65.52525220379975,44.70558631102164
MOT20-02,13.53982663154602,83060,6134.495090689056,62.30645663198796,41.22280957981673
MOT20-03,56.94295310974121,173824,3052.5989697970895,65.38826048961808,45.80434741023662
MOT20-05,152.2488145828247,374823,2461.910794031785,65.08788474363155,44.21824910573936
