Seq,Online_IDF1,Online_MOTA,Online_IDSW,Relink_IDF1,Relink_MOTA,Relink_IDSW,Links,ΔIDF1 (rl-on),ΔMOTA (rl-on)
MOT20-01,65.52525220379975,44.70558631102164,154,55.78079750501226,29.451434323100155,123,5,-9.744454698787493,-15.254151987921485
MOT20-02,62.30645663198796,41.22280957981673,1317,53.43184666234936,27.91808300267542,801,33,-8.874609969638605,-13.304726577141313
MOT20-03,65.38826048961808,45.80434741023662,1263,57.231241358655296,33.36946610639614,502,167,-8.15701913096278,-12.434881303840484
MOT20-05,65.08788474363155,44.21824910573936,4031,56.920366600174106,31.665954971346533,1758,444,-8.167518143457443,-12.552294134392827
